Using command line value for config of json/experiments/TournoumentConfigs/Catan_TradeSurplus_3P_200_Fair.json
Game: Catan, Players: 3
Game: Catan, Players: 3, Mode: EXHAUSTIVE, TotalGames: 198, GamesPerMatchup: 33
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::invokeCleaner has been called by nonapi.io.github.classgraph.utils.FileUtils (file:/Users/denizgencoatilla/TabletopGames/target/TAG.jar)
WARNING: Please consider reporting this to the maintainers of class nonapi.io.github.classgraph.utils.FileUtils
WARNING: sun.misc.Unsafe::invokeCleaner will be removed in a future release
Playing Catan
[Catan_1,Catan_2,PhaseBasedEnsemblePlayer]
[LLMActionPlayer] Creating LLMAccessGoogleGenAI: model=gemini-2.5-flash
[LLMActionPlayer] API call took 1081 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 1545 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 843 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 859 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 766 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 773 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 830 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 1131 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 1031 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 7577 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 722 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 910 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 881 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 772 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 646 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 721 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 6601 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 768 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 603 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 704 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 883 ms (model=GEMINI size=LARGE)
