Using command line value for config of json/experiments/TournoumentConfigs/Non-Fair/Catan_Full_3P_200_NonFair.json
Game: Catan, Players: 3
Game: Catan, Players: 3, Mode: EXHAUSTIVE, TotalGames: 198, GamesPerMatchup: 33
WARNING: A terminally deprecated method in sun.misc.Unsafe has been called
WARNING: sun.misc.Unsafe::invokeCleaner has been called by nonapi.io.github.classgraph.utils.FileUtils (file:/Users/denizgencoatilla/TabletopGames/target/TAG.jar)
WARNING: Please consider reporting this to the maintainers of class nonapi.io.github.classgraph.utils.FileUtils
WARNING: sun.misc.Unsafe::invokeCleaner will be removed in a future release
Playing Catan
[Catan_1,Catan_2,PhaseBasedEnsemblePlayer]
[LLMActionPlayer] Creating LLMAccessGoogleGenAI: model=gemini-2.5-flash
[LLMActionPlayer] API call took 694 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 576 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 543 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 380 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 527 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 557 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 413 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 541 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 551 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 695 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 492 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 419 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 377 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 377 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 363 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 359 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 439 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 361 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 466 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 465 ms (model=GEMINI size=LARGE)
[LLMActionPlayer] API call took 462 ms (model=GEMINI size=LARGE)
