GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,ActionsReduced(Player),ActionsReduced(Action),ActionsReduced(ActionClass),ActionsReduced(ActionDescription),ActionsReduced(PlayerType),ActionsReduced(Size)
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,0,0,2,2,0,"(0,0) -> (0,1)",AddGridCellEdge,"(0,0) -> (0,1)",llm,82
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,1,1,2,2,1,"(6,0) -> (7,0)",AddGridCellEdge,"(6,0) -> (7,0)",Basic MCTS,81
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,2,2,2,2,0,"(2,2) -> (3,2)",AddGridCellEdge,"(2,2) -> (3,2)",llm,80
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,3,3,2,2,1,"(2,5) -> (3,5)",AddGridCellEdge,"(2,5) -> (3,5)",Basic MCTS,79
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,4,4,2,2,0,"(3,2) -> (3,3)",AddGridCellEdge,"(3,2) -> (3,3)",llm,78
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,5,5,2,2,1,"(3,0) -> (4,0)",AddGridCellEdge,"(3,0) -> (4,0)",Basic MCTS,77
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,6,6,2,2,0,"(3,3) -> (4,3)",AddGridCellEdge,"(3,3) -> (4,3)",llm,76
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,7,7,2,2,1,"(5,2) -> (6,2)",AddGridCellEdge,"(5,2) -> (6,2)",Basic MCTS,75
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,8,8,2,2,0,"(3,0) -> (3,1)",AddGridCellEdge,"(3,0) -> (3,1)",llm,74
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,9,9,2,2,1,"(0,0) -> (1,0)",AddGridCellEdge,"(0,0) -> (1,0)",Basic MCTS,73
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,10,10,2,2,0,"(4,1) -> (4,2)",AddGridCellEdge,"(4,1) -> (4,2)",llm,72
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,11,11,2,2,1,"(3,5) -> (4,5)",AddGridCellEdge,"(3,5) -> (4,5)",Basic MCTS,71
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,12,12,2,2,0,"(3,1) -> (4,1)",AddGridCellEdge,"(3,1) -> (4,1)",llm,70
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,13,13,2,2,1,"(4,0) -> (4,1)",AddGridCellEdge,"(4,0) -> (4,1)",Basic MCTS,69
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,14,13,2,2,1,"(7,3) -> (7,4)",AddGridCellEdge,"(7,3) -> (7,4)",Basic MCTS,68
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,15,14,2,2,0,"(3,4) -> (3,5)",AddGridCellEdge,"(3,4) -> (3,5)",llm,67
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,16,15,2,2,1,"(4,2) -> (5,2)",AddGridCellEdge,"(4,2) -> (5,2)",Basic MCTS,66
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,17,16,2,2,0,"(4,3) -> (4,4)",AddGridCellEdge,"(4,3) -> (4,4)",llm,65
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,18,17,2,2,1,"(6,1) -> (6,2)",AddGridCellEdge,"(6,1) -> (6,2)",Basic MCTS,64
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,19,18,2,2,0,"(2,3) -> (2,4)",AddGridCellEdge,"(2,3) -> (2,4)",llm,63
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,20,19,2,2,1,"(2,0) -> (3,0)",AddGridCellEdge,"(2,0) -> (3,0)",Basic MCTS,62
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,21,20,2,2,0,"(6,5) -> (7,5)",AddGridCellEdge,"(6,5) -> (7,5)",llm,61
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,22,21,2,2,1,"(1,4) -> (2,4)",AddGridCellEdge,"(1,4) -> (2,4)",Basic MCTS,60
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,23,22,2,2,0,"(2,1) -> (2,2)",AddGridCellEdge,"(2,1) -> (2,2)",llm,59
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,24,23,2,2,1,"(4,5) -> (5,5)",AddGridCellEdge,"(4,5) -> (5,5)",Basic MCTS,58
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,25,24,2,2,0,"(6,3) -> (6,4)",AddGridCellEdge,"(6,3) -> (6,4)",llm,57
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,26,25,2,2,1,"(5,3) -> (6,3)",AddGridCellEdge,"(5,3) -> (6,3)",Basic MCTS,56
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,27,26,2,2,0,"(2,4) -> (3,4)",AddGridCellEdge,"(2,4) -> (3,4)",llm,55
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,28,27,2,2,1,"(2,4) -> (2,5)",AddGridCellEdge,"(2,4) -> (2,5)",Basic MCTS,54
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,29,27,2,2,1,"(1,0) -> (1,1)",AddGridCellEdge,"(1,0) -> (1,1)",Basic MCTS,53
-1838458335,DotsAndBoxes,0,ACTION_CHOSEN,30,28,2,2,0,"(1,2) -> (2,2)",AddGridCellEdge,"(1,2) -> (2,2)",llm,52
