GameSeed,GameName,Round,Event,Tick,Turn,PlayerCount,GameID,FinalScore(PlayerName-0),FinalScore(Player-1),FinalScore(Player-0),FinalScore(Player-3),FinalScore(Player-2),FinalScore(PlayerName-1),FinalScore(PlayerName-2),FinalScore(PlayerName-3),OrdinalPosition(Player-1 rank),OrdinalPosition(PlayerName-0),OrdinalPosition(Player-1),OrdinalPosition(Player-0),OrdinalPosition(Player-0 rank),OrdinalPosition(Player-3),OrdinalPosition(Player-3 rank),OrdinalPosition(Player-2),OrdinalPosition(PlayerName-1),OrdinalPosition(Player-2 rank),OrdinalPosition(PlayerName-2),OrdinalPosition(PlayerName-3),PlayerType(PlayerType-1),PlayerType(PlayerType-0),PlayerType(PlayerType-3),PlayerType(PlayerType-2)
-1676591822,Catan,34,GAME_OVER,652,3,4,2,Catan_3,8.0,4.0,10.0,8.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,2,Catan_3,2,4,4,1,1,2,PhaseBasedEnsemblePlayer,2,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
1656788705,Catan,25,GAME_OVER,492,1,4,3,Catan,10.0,3.0,7.0,4.0,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,1,Catan,1,4,4,2,2,3,PhaseBasedEnsemblePlayer,3,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_2,Catan_3
-1715973939,Catan,38,GAME_OVER,823,3,4,4,Catan_3,6.0,5.0,6.0,9.0,Catan,PhaseBasedEnsemblePlayer,Catan_2,2,Catan_3,2,4,4,2,2,1,Catan,1,PhaseBasedEnsemblePlayer,Catan_2,Catan,Catan_3,Catan_2,PhaseBasedEnsemblePlayer
-2083334941,Catan,27,GAME_OVER,526,0,4,5,PhaseBasedEnsemblePlayer,5.0,10.0,6.0,4.0,Catan,Catan_3,Catan_2,3,PhaseBasedEnsemblePlayer,3,1,1,2,2,4,Catan,4,Catan_3,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan_3
1007267148,Catan,26,GAME_OVER,534,2,4,6,Catan,6.0,4.0,4.0,10.0,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,2,Catan,2,3,3,3,3,1,Catan_2,1,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan,Catan_3,PhaseBasedEnsemblePlayer
-97903576,Catan,26,GAME_OVER,550,2,4,7,PhaseBasedEnsemblePlayer,6.0,3.0,7.0,9.0,Catan,Catan_3,Catan_2,3,PhaseBasedEnsemblePlayer,3,4,4,2,2,1,Catan,1,Catan_3,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_2,Catan_3
1749501407,Catan,26,GAME_OVER,528,3,4,8,Catan_2,7.0,4.0,10.0,3.0,Catan_3,Catan,PhaseBasedEnsemblePlayer,2,Catan_2,2,3,3,1,1,4,Catan_3,4,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,PhaseBasedEnsemblePlayer,Catan
-414146210,Catan,31,GAME_OVER,633,3,4,9,Catan_3,7.0,3.0,10.0,4.0,Catan,Catan_2,PhaseBasedEnsemblePlayer,2,Catan_3,2,4,4,1,1,3,Catan,3,Catan_2,PhaseBasedEnsemblePlayer,Catan,Catan_3,PhaseBasedEnsemblePlayer,Catan_2
-1938921866,Catan,18,GAME_OVER,372,3,4,10,Catan_3,7.0,4.0,8.0,2.0,PhaseBasedEnsemblePlayer,Catan_2,Catan,2,Catan_3,2,3,3,1,1,4,PhaseBasedEnsemblePlayer,4,Catan_2,Catan,PhaseBasedEnsemblePlayer,Catan_3,Catan,Catan_2
-1960853866,Catan,25,GAME_OVER,508,2,4,11,Catan_3,7.0,4.0,3.0,10.0,PhaseBasedEnsemblePlayer,Catan,Catan_2,2,Catan_3,2,3,3,4,4,1,PhaseBasedEnsemblePlayer,1,Catan,Catan_2,PhaseBasedEnsemblePlayer,Catan_3,Catan_2,Catan
